hotel,location
GrandHotelTaipei,Taipei
AmbassadorHotelTaipei,Taipei
ImperialHotelTaipei,Taipei
GloriaPrinceHotelTaipei,Taipei
EmperorHotel,Taipei
HotelRiverviewTaipei,Taipei
CaesarParkTaipei,Taipei
GoldenChinaHotel,Taipei
SanWant,Taipei
BrotherHotelTaipei,Taipei
SantosHotel,Taipei
LandisTaipei,Taipei
UnitedHotel,Taipei
SheratonGrandeTaipeiHotel,Taipei
HotelRoyalNikkoTaipei,Taipei
HowardPlazaHotelTaipei,Taipei
GrandHyattTaipei,Taipei
RegentTaipei,Taipei
SherwoodTaipei,Taipei
ShangriLasFarEasternPlazaHotelTaipei,Taipei
WestinTaipei,Taipei
MiramarGardenTaipei,Taipei
WTaipei,Taipei
LeMeridienTaipei,Taipei
FirstHotel,Taipei
LeofooHotelTaipei,Taipei
RivieraHotel,Taipei
TaipeiGalaHotel,Taipei
CosmosHotelTaipei,Taipei
PalaisdeChineHotel,Taipei
CapitalHotel,Taipei
RadiumKagayaInternationalHotel,Taipei
FullonHotelTaipeiCentral,Taipei
TaipeiGardenHotel,Taipei
GrandViewResortBeitou,Taipei
HumbleHouseTaipei,Taipei
HotelRoyalBeitou,Taipei
TaipeiMarriottHotel,Taipei
UHotelTaipeiNanjingEastRoad,Taipei
GrandMayfullHotelTaipei,Taipei
SHotelTaipei,Taipei
AloftTaipeiZhongshan,Taipei
HotelKingdom,Kaohsiung
HolidayGardenHotel,Kaohsiung
AmbassadorHotelKaohsiung,Kaohsiung
GrandHiLaiHotelKaohsiung,Kaohsiung
HowardPlazaHotelKaohsiung,Kaohsiung
85SkyTowerHotel,Kaohsiung
HanHsienInternational,Kaohsiung
LeesHotelKaohsiung,Kaohsiung
FullonHotelKaohsiung,Kaohsiung
SilksClubKaohsiung,Kaohsiung
HotelNational,Taichung
PlazaInternationalHotel,Taichung
EvergreenLaurelHotel,Taichung
HowardPrinceHotelTaichung,Taichung
SplendorHotelTaichung,Taichung
WindsorHotelTaichung,Taichung
TaichungHarborHotel,Taichung
MarshalHotel,Hualien
ChateaudeChineHotelHualien,Hualien
ParkviewHotel,Hualien
HualienFarGloryHotel,Hualien
PleasantHotelsInternational,TauHsiuMiao
HotelRoyalHsinchu,TauHsiuMiao
AmbassadorHotelHsinchu,TauHsiuMiao
MonarchSkylineHotel,TauHsiuMiao
SouthGardenHotelsandResorts,TauHsiuMiao
SheratonHsinchuHotel,TauHsiuMiao
HotelNovotelTaipeiTaoyuanInternationalAirport,TauHsiuMiao
MonarchPlazaHotel,TauHsiuMiao
HotelKuvaChateau,TauHsiuMiao
FullonHotelTaoyuan,TauHsiuMiao
FullonHotelLinkou,TauHsiuMiao
MiaoliMaisondeChineHotel,TauHsiuMiao
HotelTainan,Other
FormosanNaruwanHotelResortTaitung,Other
TayihLandisTainan,Other
EvergreenPlazaHotelTainan,Other
NicePrinceHotel,Other
EDaRoyalHotel,Other
SilksPlaceYilan,Other
EvergreenResortHotelJiaosi,Other
ShangriLasFarEasternPlazaHotelTainan,Other
FullonHotelTamsuiFishermensWharf,Other
SunSpringResort,Other
EvergreenLaurelHotelKeelung,Other
FourPointsBySheratonTaipeiZhonghe,Other
YuhTongHotel,Other
GreatRootsForestrySpaResort,Other
SheratonTaitungHotel,Other
WaldenHotelYilan,Other
CaesarParkHotelBanqiao,Other
CrownePlazaTainan,Other
